Car,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model
Chevrolet Chevelle Malibu,18.0,8,307.0,130.0,3504.,12.0,70
Buick Skylark 320,15.0,8,350.0,165.0,3693.,11.5,70
Plymouth Satellite,18.0,8,318.0,150.0,3436.,11.0,70
AMC Rebel SST,16.0,8,304.0,150.0,3433.,12.0,70
Ford Torino,17.0,8,302.0,140.0,3449.,10.5,70
Ford Galaxie 500,15.0,8,429.0,198.0,4341.,10.0,70
Chevrolet Impala,14.0,8,454.0,220.0,4354.,9.0,70
Plymouth Fury iii,14.0,8,440.0,215.0,4312.,8.5,70
Pontiac Catalina,14.0,8,455.0,225.0,4425.,10.0,70
AMC Ambassador DPL,15.0,8,390.0,190.0,3850.,8.5,70
Citroen DS-21 Pallas,0,4,133.0,115.0,3090.,17.5,70
Chevrolet Chevelle Concours (sw),0,8,350.0,165.0,4142.,11.5,70
Ford Torino (sw),0,8,351.0,153.0,4034.,11.0,70
Plymouth Satellite (sw),0,8,383.0,175.0,4166.,10.5,70
AMC Rebel SST (sw),0,8,360.0,175.0,3850.,11.0,70
Dodge Challenger SE,15.0,8,383.0,170.0,3563.,10.0,70
Plymouth 'Cuda 340,14.0,8,340.0,160.0,3609.,8.0,70
Ford Mustang Boss 302,0,8,302.0,140.0,3353.,8.0,70
Chevrolet Monte Carlo,15.0,8,400.0,150.0,3761.,9.5,70
Buick Estate Wagon (sw),14.0,8,455.0,225.0,3086.,10.0,70
Toyota Corolla Mark ii,24.0,4,113.0,95.00,2372.,15.0,70
Plymouth Duster,22.0,6,198.0,95.00,2833.,15.5,70
AMC Hornet,18.0,6,199.0,97.00,2774.,15.5,70
Ford Maverick,21.0,6,200.0,85.00,2587.,16.0,70
Datsun PL510,27.0,4,97.00,88.00,2130.,14.5,70
Volkswagen 1131 Deluxe Sedan,26.0,4,97.00,46.00,1835.,20.5,70
Peugeot 504,25.0,4,110.0,87.00,2672.,17.5,70
Audi 100 LS,24.0,4,107.0,90.00,2430.,14.5,70
Saab 99e,25.0,4,104.0,95.00,2375.,17.5,70
BMW 2002,26.0,4,121.0,113.0,2234.,12.5,70
AMC Gremlin,21.0,6,199.0,90.00,2648.,15.0,70
Ford F250,10.0,8,360.0,215.0,4615.,14.0,70
Chevy C20,10.0,8,307.0,200.0,4376.,15.0,70
Dodge D200,11.0,8,318.0,210.0,4382.,13.5,70
Hi 1200D,9.0,8,304.0,193.0,4732.,18.5,70
Datsun PL510,27.0,4,97.00,88.00,2130.,14.5,71
Chevrolet Vega 2300,28.0,4,140.0,90.00,2264.,15.5,71
Toyota Corolla,25.0,4,113.0,95.00,2228.,14.0,71
Ford Pinto,25.0,4,98.00,0,2046.,19.0,71
Volkswagen Super Beetle 117,0,4,97.00,48.00,1978.,20.0,71
AMC Gremlin,19.0,6,232.0,100.0,2634.,13.0,71
Plymouth Satellite Custom,16.0,6,225.0,105.0,3439.,15.5,71
Chevrolet Chevelle Malibu,17.0,6,250.0,100.0,3329.,15.5,71
Ford Torino 500,19.0,6,250.0,88.00,3302.,15.5,71
AMC Matador,18.0,6,232.0,100.0,3288.,15.5,71
Chevrolet Impala,14.0,8,350.0,165.0,4209.,12.0,71
Pontiac Catalina Brougham,14.0,8,400.0,175.0,4464.,11.5,71
Ford Galaxie 500,14.0,8,351.0,153.0,4154.,13.5,71
Plymouth Fury iii,14.0,8,318.0,150.0,4096.,13.0,71
Dodge Monaco (sw),12.0,8,383.0,180.0,4955.,11.5,71